Reward Name,SKU,Shipping Cost,Handling Cost,Service Charge,ID
Four Seasons e-Gift Card (2500 OMR),OM-FS0027,0,0,10,0
Four Seasons e-Gift Card (2800 OMR),OM-FS0028,0,0,10,0
Four Seasons e-Gift Card (3000 OMR),OM-FS0029,0,0,10,0
Four Seasons e-Gift Card (3250 OMR),OM-FS0030,0,0,12,0
Four Seasons e-Gift Card (100 OMR),OM-FS0031,0,0,6,0
Four Seasons e-Gift Card (200 OMR),OM-FS0032,0,0,7,0
Four Seasons e-Gift Card (300 OMR),OM-FS0033,0,0,7,0
Four Seasons e-Gift Card (500 OMR),OM-FS0034,0,0,7,0
Four Seasons e-Gift Card (800 OMR),OM-FS0035,0,0,7,0
Four Seasons e-Gift Card (1000 OMR),OM-FS0036,0,0,10,0
Four Seasons e-Gift Card (1250 OMR),OM-FS0037,0,0,10,0
Four Seasons e-Gift Card (1500 OMR),OM-FS0038,0,0,10,0
Four Seasons e-Gift Card (1800 OMR),OM-FS0039,0,0,10,0
Four Seasons e-Gift Card (2000 OMR),OM-FS0040,0,0,10,0
Four Seasons e-Gift Card (2300 OMR),OM-FS0041,0,0,10,0
Four Seasons e-Gift Card (2500 OMR),OM-FS0042,0,0,10,0
Four Seasons e-Gift Card (2800 OMR),OM-FS0043,0,0,10,0
Four Seasons e-Gift Card (3000 OMR),OM-FS0044,0,0,10,0
Four Seasons e-Gift Card (3250 OMR),OM-FS0045,0,0,12,0
Lulu Hypermarket (30 OMR),OM-LUH0001,11,2,2,0
Lulu Hypermarket (40 OMR),OM-LUH0002,11,2,2,0
Lulu Hypermarket (50 OMR),OM-LUH0003,11,2,2,0
Lulu Hypermarket (30 OMR),OM-LUH0004,11,2,2,0
Lulu Hypermarket (40 OMR),OM-LUH0005,11,2,2,0
Lulu Hypermarket (50 OMR),OM-LUH0006,11,2,2,0
VOX Gift Card - Regular Class (50 OMR),OM-VOX0001,11,3,3,0
VOX Gift Card  - Regular Class (100 OMR),OM-VOX0002,11,3,3,0
VOX Gift Card  - Regular Class (150 OMR),OM-VOX0003,11,3.5,3.5,0
VOX Gift Card  - Regular Class (200 OMR),OM-VOX0004,11,3.5,3.5,0
VOX Gift Card  - VOX MAX Class (50 OMR),OM-VOX0005,11,2,2,0
VOX Gift Card   - VOX MAX Class  (100 OMR),OM-VOX0006,11,3,3,0
VOX Gift Card   - VOX MAX Class (150 OMR),OM-VOX0007,11,3.5,3.5,0
VOX Gift Card   - VOX MAX Class (200 OMR),OM-VOX0008,11,3.5,3.5,0
VOX Gift Card   - Candy Cash (25 OMR),OM-VOX0009,11,2,2,0
VOX Gift Card   - Candy Cash (50 OMR),OM-VOX0010,11,2,2,0
The Chedi Jade Massage - 60 Minutes,OM-CH0029,11,3,3,0
Ancient Balinese Massage  - 60 Minutes,OM-CH0030,11,2,2,0
Ancient Balinese Massage  - 90 Minutes,OM-CH0031,11,3,3,0
Ayurvedic Abhyanga Massage - 90 Minutes,OM-CH0032,11,3,3,0
Arabian Sea Wave Massage - 90 Minutes,OM-CH0033,11,3,3,0
Himalayan Warm Stone Massage - 90 Minutes,OM-CH0034,11,3,3,0
Thai-Style Foot Reflexology  - 30 Minutes,OM-CH0035,11,2,2,0
Thai-Style Foot Reflexology -  60 Minutes,OM-CH0036,11,2,2,0
ila Tibetan Ku Nye Massage  - 90 Minutes,OM-CH0037,11,3,3,0
ila Mother-To-Be Massage - 90 Minutes,OM-CH0038,11,3,3,0
ila Chakra Balancing Massage - 75 Minutes,OM-CH0039,11,3,3,0
ila Indian Marma Point Head Massage And Hair Masque - 45 Minutes,OM-CH0040,11,2,2,0
ila Adreno Restore Ritual - 120 Minutes,OM-CH0041,11,3,3,0
Oceania Oriental Ritual - 120 Minutes,OM-CH0042,11,3,3,0
India Oriental Ritual - 120 Minutes,OM-CH0043,11,3,3,0
Bali Oriental Ritual,OM-CH0044,11,3,3,0
The Chedi Oriental Ritual - 150 Minutes,OM-CH0045,11,3.5,3.5,0
VOYA Fucus Luscious Organic Salt Glow for Detoxifying - 60 Minutes,OM-CH0046,11,3,3,0
VOYA Bladderwrack Body Buff for Nourishing - 60 Minutes,OM-CH0047,11,3,3,0
Ila Himalayan Crystal Body Polish for Detoxifying or Uplifting - 60 Minutes,OM-CH0048,11,3,3,0
VOYA Organic Seaweed Leaf Envelopment For Detoxification - 120 Minutes,OM-CH0049,11,3,3,0
ila Bio,OM-CH0050,11,3,3,0
ila Amethyst Envelopment For Inner Peace - 90 Minutes,OM-CH0051,11,3,3,0
Moroccan Rhassoul Envelopment For Velvety Skin - 120 Minutes,OM-CH0052,11,3,3,0
Ren Bio Active Bespoke Facial - 60 Minutes,OM-CH0053,11,3,3,0
Ren Bio Active Bespoke Facial- 75 Minutes,OM-CH0054,11,3,3,0
Ren Facial for Men - 60 Minutes,OM-CH0055,11,3,3,0
VOYA Organic Deluxe Facial - 90 Minutes,OM-CH0056,11,3,3,0
CHI Balance - 60 Minutes,OM-CHI0001,11,2,2,0
CHI Balance - 90 Minutes,OM-CHI0002,11,3,3,0
Vitality Massage - 60 Minutes,OM-CHI0003,11,3,3,0
Vitality Massage - 90 Minutes,OM-CHI0004,11,3,3,0
Amazon e-Gift Card - US Store (50 OMR),OM-AMZ001,0,0,6,0
Amazon e-Gift Card - US Store (100 OMR),OM-AMZ002,0,0,6,0
Amazon e-Gift Card - US Store (150 OMR),OM-AMZ003,0,0,7,0
Amazon e-Gift Card - US Store (200 OMR),OM-AMZ004,0,0,7,0
Amazon e-Gift Card - US Store (50 OMR),OM-AMZ005,0,0,6,0
Amazon e-Gift Card - US Store (100 OMR),OM-AMZ006,0,0,6,0
Amazon e-Gift Card - US Store (150 OMR),OM-AMZ007,0,0,7,0
Amazon e-Gift Card - US Store (200 OMR),OM-AMZ008,0,0,7,0
Amazon e-Gift Card - US Store (50 OMR),OM-AMZ009,0,0,6,0
Amazon e-Gift Card - US Store (100 OMR),OM-AMZ010,0,0,6,0
Amazon e-Gift Card - US Store (150 OMR),OM-AMZ011,0,0,7,0
Amazon e-Gift Card - US Store (200 OMR),OM-AMZ012,0,0,7,0
Amazon e-Gift Card - US Store (50 OMR),OM-AMZ013,0,0,6,0
Amazon e-Gift Card - US Store (100 OMR),OM-AMZ014,0,0,6,0
Amazon e-Gift Card - US Store (150 OMR),OM-AMZ015,0,0,7,0
Amazon e-Gift Card - US Store (200 OMR),OM-AMZ016,0,0,7,0
Amazon e-Gift Card - US Store (50 OMR),OM-AMZ017,0,0,6,0
Amazon e-Gift Card - US Store (100 OMR),OM-AMZ018,0,0,6,0
Amazon e-Gift Card - US Store (150 OMR),OM-AMZ019,0,0,7,0
Amazon e-Gift Card - US Store (200 OMR),OM-AMZ020,0,0,7,0
Amazon e-Gift Card - US Store (50 OMR),OM-AMZ021,0,0,6,0
Amazon e-Gift Card - US Store (100 OMR),OM-AMZ022,0,0,6,0
Amazon e-Gift Card - US Store (150 OMR),OM-AMZ023,0,0,7,0
Amazon e-Gift Card - US Store (200 OMR),OM-AMZ024,0,0,7,0
Amazon e-Gift Card - US Store (50 OMR),OM-AMZ025,0,0,6,0
Amazon e-Gift Card - US Store (100 OMR),OM-AMZ026,0,0,6,0
Amazon e-Gift Card - US Store (150 OMR),OM-AMZ027,0,0,7,0
Amazon e-Gift Card - US Store (200 OMR),OM-AMZ028,0,0,7,0
CHI Hot Stone - 120 Minutes,OM-CHI0005,11,3,3,0
Philippine Hilot - 60 Minutes,OM-CHI0006,11,3,3,0
Philippine Hilot - 90 Minutes,OM-CHI0007,11,3,3,0
Traditional Thai Massage - 60 Minutes,OM-CHI0008,11,3,3,0
Traditional Thai Massage - 90 Minutes,OM-CHI0009,11,3,3,0
Rescue Release - 45 Minutes,OM-CHI0010,11,3,3,0
Journey of Arabia - 3Hrs 30 Min,OM-CHI0011,11,3,3,0
Frankincense and Rose Wrap - 50 Minutes,OM-CHI0012,11,3,3,0
Hammam - 45 Minutes,OM-CHI0013,11,3,3,0
Rejuvenating Facial - 60 Minutes,OM-CHI0014,11,3,3,0
Harmonizing Facial - 60 Minutes,OM-CHI0015,11,3,3,0
Men's Purifying Facial - 60 Minutes,OM-CHI0016,11,3,3,0
Indulgence of Time - 2Hrs 30 Mins,OM-CHI0017,11,3,3,0
Traveler's Retreat - 3 Hours,OM-CHI0018,11,3,3,0
Vitality Journey - 4 Hours,OM-CHI0019,11,3.5,3.5,0
Energising and Detoxifying Scrub - 1 Hour,OM-CHI0020,11,3,3,0
Blissful Experience Scrub - 1 Hour,OM-CHI0021,11,3,3,0
Bio-Energising Wrap - 1 Hr 30 Mins,OM-CHI0022,11,3,3,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM001,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM003,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM005,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM007,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM009,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM011,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM013,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM015,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM017,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM019,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM021,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM023,11,2,2,0
Muscat Grand Mall Gift Card (30 OMR),OM-MGM025,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM002,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM004,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM006,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM008,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM010,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM012,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM014,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM016,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM018,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM020,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM022,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM024,11,2,2,0
Muscat Grand Mall Gift Card (50 OMR),OM-MGM026,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR001,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR002,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR003,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR004,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR005,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR006,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR007,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR008,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR009,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR010,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR011,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR012,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR013,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR014,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR015,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR016,11,2,2,0
Carrefour Voucher (30 OMR),OM-CAR017,11,2,2,0
Carrefour Voucher (50 OMR),OM-CAR018,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS001,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS002,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS003,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS004,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS005,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS006,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS007,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS008,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS009,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS010,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS011,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS012,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS013,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS014,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS015,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS016,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS017,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS018,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS019,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS020,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS021,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS022,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS023,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS024,11,2,2,0
Oasis Mall Gift Card (30 OMR),OM-OAS025,11,2,2,0
Oasis Mall Gift Card (50 OMR),OM-OAS026,11,2,2,0
Sharaf DG Electronics Gift Card (30 OMR),OM-SHR001,11,2,2,0
Sharaf DG Electronics Gift Card (50 OMR),OM-SHR002,11,2,2,0
Joyalukkas Jewlary Gift Card (50 OMR),OM-JJ001,11,2,2,0
Joyalukkas Jewlary Gift Card (100 OMR),OM-JJ002,11,2,2,0
Joyalukkas Jewlary Gift Card (150 OMR),OM-JJ003,11,2,2,0
Joyalukkas Jewlary Gift Card (50 OMR),OM-JJ004,11,2,2,0
Joyalukkas Jewlary Gift Card (100 OMR),OM-JJ005,11,2,2,0
Joyalukkas Jewlary Gift Card (150 OMR),OM-JJ006,11,2,2,0
Home Center Gift Card (50 OMR),OM-HC001,11,2,2,0
Home Center Gift Card (100 OMR),OM-HC002,11,2,2,0
Home Center Gift Card (150 OMR),OM-HC003,11,2,2,0
Home Center Gift Card (200 OMR),OM-HC004,11,2,2,0
Home Center Gift Card (500 OMR),OM-HC005,11,2,2,0
Apple Store Gift Card (30 OMR),APP0002,0,8,0,0
Apple Store Gift Card (50 OMR),APP0003,0,10,0,0
Apple Store Gift Card (100 OMR),APP0004,0,15,0,0
BHS Gift Card (100 OMR),BHS0002,0,15,0,0
BHS Gift Card (25 OMR),BHS0003,0,8,0,0
BHS Gift Card (50 OMR),BHS0004,0,10,0,0
Carrefour Voucher (10 OMR),CAR0001,0,8,0,0
Four Seasons e-Gift Card (100 OMR),FS0001,0,15,0,0
Four Seasons e-Gift Card (200 OMR),FS0002,0,25,0,0
Four Seasons e-Gift Card (300 OMR),FS0003,0,40,0,0
Four Seasons e-Gift Card (500 OMR),FS0004,0,50,0,0
Four Seasons e-Gift Card (800 OMR),FS0005,0,75,0,0
Four Seasons e-Gift Card (1000 OMR),FS0006,0,100,0,0
Four Seasons e-Gift Card (1250 OMR),FS0007,0,125,0,0
Four Seasons e-Gift Card (1500 OMR),FS0008,0,150,0,0
Four Seasons e-Gift Card (1800 OMR),FS0009,0,180,0,0
Four Seasons e-Gift Card (2000 OMR),FS0010,0,200,0,0
Four Seasons e-Gift Card (2300 OMR),FS0011,0,230,0,0
Four Seasons e-Gift Card (2500 OMR),FS0012,0,250,0,0
Four Seasons e-Gift Card (2800 OMR),FS0013,0,280,0,0
Four Seasons e-Gift Card (3000 OMR),FS0014,0,300,0,0
Four Seasons e-Gift Card (3250 OMR),FS0015,0,325,0,0
Four Seasons e-Gift Card (100 OMR),FS0016,0,15,0,0
Four Seasons e-Gift Card (200 OMR),FS0017,0,25,0,0
Four Seasons e-Gift Card (300 OMR),FS0018,0,40,0,0
Four Seasons e-Gift Card (500 OMR),FS0019,0,50,0,0
Four Seasons e-Gift Card (800 OMR),FS0020,0,75,0,0
Four Seasons e-Gift Card (1000 OMR),FS0021,0,100,0,0
Four Seasons e-Gift Card (1250 OMR),FS0022,0,125,0,0
Four Seasons e-Gift Card (1500 OMR),FS0023,0,150,0,0
Four Seasons e-Gift Card (1800 OMR),FS0024,0,180,0,0
Four Seasons e-Gift Card (2000 OMR),FS0025,0,200,0,0
Four Seasons e-Gift Card (2300 OMR),FS0026,0,230,0,0
Four Seasons e-Gift Card (2800 OMR),FS0028,0,280,0,0
Four Seasons e-Gift Card (3000 OMR),FS0029,0,300,0,0
Four Seasons e-Gift Card (3250 OMR),FS0030,0,325,0,0
Four Seasons e-Gift Card (100 OMR),FS0031,0,15,0,0
Four Seasons e-Gift Card (200 OMR),FS0032,0,25,0,0
Four Seasons e-Gift Card (300 OMR),FS0033,0,40,0,0
Four Seasons e-Gift Card (500 OMR),FS0034,0,50,0,0
Four Seasons e-Gift Card (800 OMR),FS0035,0,75,0,0
Four Seasons e-Gift Card (1000 OMR),FS0036,0,100,0,0
Four Seasons e-Gift Card (1250 OMR),FS0037,0,125,0,0
Four Seasons e-Gift Card (1500 OMR),FS0038,0,150,0,0
Four Seasons e-Gift Card (1800 OMR),FS0039,0,180,0,0
Four Seasons e-Gift Card (2000 OMR),FS0040,0,200,0,0
Four Seasons e-Gift Card (2300 OMR),FS0041,0,230,0,0
Four Seasons e-Gift Card (2500 OMR),FS0042,0,250,0,0
Four Seasons e-Gift Card (2800 OMR),FS0043,0,280,0,0
Four Seasons e-Gift Card (3000 OMR),FS0044,0,300,0,0
Four Seasons e-Gift Card (3250 OMR),FS0045,0,325,0,0
Next Gift Card (30 OMR),NT0001,0,8,0,0
Next Gift Card (50 OMR),NT0002,0,10,0,0
Next Gift Card (100 OMR),NT0003,0,15,0,0
MAC Cosmetics Gift Card (150 OMR),MAC0001,0,20,0,0
MAC Cosmetics Gift Card (100 OMR),MAC0002,0,15,0,0
MAC Cosmetics Gift Card (30 OMR),MAC0003,0,8,0,0
MAC Cosmetics Gift Card (50 OMR),MAC0004,0,10,0,0
Qanz Card (25 OMR),QAN0001,0,8,0,0
Qanz Card (35 OMR),QAN0002,0,8,0,0
Qanz Card (50 OMR),QAN0003,0,10,0,0
Qanz Card (25 OMR),QAN0009,0,8,0,0
Qanz Card (35 OMR),QAN0010,0,8,0,0
Qanz Card (50 OMR),QAN0011,0,10,0,0
Qanz Card (25 OMR),QAN0013,0,8,0,0
Qanz Card (35 OMR),QAN0014,0,8,0,0
Qanz Card (50 OMR),QAN0015,0,10,0,0
Qanz Card (150 OMR),QAN0016,0,20,0,0
Qanz Card (25 OMR),QAN0017,0,8,0,0
Qanz Card (35 OMR),QAN0018,0,8,0,0
Qanz Card (50 OMR),QAN0019,0,10,0,0
Victoria's Secret Cosmetics Gift Card (30 OMR),VS0001,0,8,0,0
Victoria's Secret Cosmetics Gift Card (50 OMR),VS0002,0,10,0,0
Victoria's Secret Cosmetics Gift Card (100 OMR),VS0003,0,15,0,0
Mother Care Gift Card (30 OMR),MC0001,0,8,0,0
Mother Care Gift Card (50 OMR),MC0002,0,10,0,0
Mother Care Gift Card (100 OMR),MC0003,0,15,0,0
Mother Care Gift Card (150 OMR),MC0004,0,20,0,0
Bath&Body Works Gift Card (100 OMR),BBW0001,0,15,0,0
Bath&Body Works Gift Card (30 OMR),BBW0002,0,8,0,0
Bath&Body Works Gift Card (50 OMR),BBW0003,0,10,0,0
Muscat Watch Center Gift Card (25 OMR),MWC0001,0,8,0,0
Muscat Watch Center Gift Card (50 OMR),MWC0002,0,10,0,0
Muscat Watch Center Gift Card (75 OMR),MWC0003,0,13,0,0
Malabar Jewelry Gift Card (10 OMR),MAJ0001,0,8,0,0
Malabar Jewelry Gift Card (20 OMR),MAJ0002,0,13,0,0
Malabar Jewelry Gift Card (50 OMR),MAJ0003,0,10,0,0
Malabar Jewelry Gift Card (100 OMR),MAJ0004,0,15,0,0
Damas Jewelry Gift Card (10 OMR),DAJ0001,0,8,0,0
Damas Jewelry Gift Card (20 OMR),DAJ0002,0,8,0,0
Damas Jewelry Gift Card (50 OMR),DAJ0003,0,10,0,0
Matalan Gift Card (5 OMR),MTJ0001,0,8,0,0
Rivoli Group Gift Card (5 OMR),RG0001,0,8,0,0
Rivoli Group Gift Card (20 OMR),RG0002,0,8,0,0
Borders Book Voucher (5 OMR),BOB0001,0,8,0,0
Borders Book Voucher (20 OMR),BOB0002,0,8,0,0
Borders Book Voucher (5 OMR),BOB0003,0,8,0,0
Borders Book Voucher (20 OMR),BOB0004,0,8,0,0
Marks & Spencer (30 OMR),MS0001,0,8,0,0
Marks & Spencer (50 OMR),MS0002,0,10,0,0
Marks & Spencer (100 OMR),MS0003,0,15,0,0
Marks & Spencer (150 OMR),MS0004,0,20,0,0
Lulu Hypermarket (10 OMR),LUH0001,0,8,0,0
Lulu Hypermarket (20 OMR),LUH0002,0,8,0,0
Lulu Hypermarket (5 OMR),LUH0003,0,10,0,0
Lulu Hypermarket (10 OMR),LUH0004,0,8,0,0
Lulu Hypermarket (20 OMR),LUH0005,0,8,0,0
Lulu Hypermarket (5 OMR),LUH0006,0,10,0,0
Lulu Hypermarket (10 OMR),LUH0007,0,8,0,0
Lulu Hypermarket (20 OMR),LUH0008,0,8,0,0
Lulu Hypermarket (5 OMR),LUH0009,0,10,0,0
VOX Gift Cards - Regular Class (50 OMR),VOX0001,0,10,0,0
VOX Gift Cards  - Regular Class (100 OMR),VOX0002,0,15,0,0
VOX Gift Cards  - Regular Class (150 OMR),VOX0003,0,20,0,0
VOX Gift Cards  - Regular Class (200 OMR),VOX0004,0,25,0,0
VOX Gift Cards  - VOX MAX Class (50 OMR),VOX0005,0,10,0,0
VOX Gift Cards   - VOX MAX Class  (100 OMR),VOX0006,0,15,0,0
VOX Gift Cards   - VOX MAX Class (150 OMR),VOX0007,0,20,0,0
VOX Gift Cards   - VOX MAX Class (200 OMR),VOX0008,0,25,0,0
VOX Gift Cards   - Candy Cash (25 OMR),VOX0009,0,8,0,0
VOX Gift Cards   - Candy Cash (50 OMR),VOX0010,0,10,0,0
Qanz Card (25 OMR),QAN0020,0,8,0,0
Qanz Card (35 OMR),QAN0021,0,8,0,0
Qanz Card (50 OMR),QAN0022,0,10,0,0
Qanz Card (25 OMR),QAN0023,0,8,0,0
Qanz Card (35 OMR),QAN0024,0,8,0,0
Qanz Card (50 OMR),QAN0025,0,10,0,0
The Chedi Jade Massage - 60 Minutes,CH0029,0,13,0,0
Ancient Balinese Massage  - 60 Minutes,CH0030,0,10,0,0
Ancient Balinese Massage  - 90 Minutes,CH0031,0,13,0,0
Ayurvedic Abhyanga Massage - 90 Minutes,CH0032,0,13,0,0
Arabian Sea Wave Massage - 90 Minutes,CH0033,0,13,0,0
Himalayan Warm Stone Massage - 90 Minutes,CH0034,0,13,0,0
Thai-Style Foot Reflexology  - 30 Minutes,CH0035,0,8,0,0
Thai-Style Foot Reflexology -  60 Minutes,CH0036,0,10,0,0
ila Tibetan Ku Nye Massage  - 90 Minutes,CH0037,0,13,0,0
ila Mother-To-Be Massage - 90 Minutes,CH0038,0,13,0,0
ila Chakra Balancing Massage - 75 Minutes,CH0039,0,13,0,0
ila Indian Marma Point Head Massage And Hair Masque - 45 Minutes,CH0040,0,10,0,0
ila Adreno Restore Ritual - 120 Minutes,CH0041,0,17,0,0
Oceania Oriental Ritual - 120 Minutes,CH0042,0,17,0,0
India Oriental Ritual - 120 Minutes,CH0043,0,17,0,0
Bali Oriental Ritual,CH0044,0,17,0,0
The Chedi Oriental Ritual - 150 Minutes,CH0045,0,17,0,0
VOYA Fucus Luscious Organic Salt Glow for Detoxifying - 60 Minutes,CH0046,0,13,0,0
VOYA Bladderwrack Body Buff for Nourishing - 60 Minutes,CH0047,0,13,0,0
Ila Himalayan Crystal Body Polish for Detoxifying or Uplifting - 60 Minutes,CH0048,0,13,0,0
VOYA Organic Seaweed Leaf Envelopment For Detoxification - 120 Minutes,CH0049,0,17,0,0
ila Bio,CH0050,0,17,0,0
ila Amethyst Envelopment For Inner Peace - 90 Minutes,CH0051,0,13,0,0
Moroccan Rhassoul Envelopment For Velvety Skin - 120 Minutes,CH0052,0,17,0,0
Ren Bio Active Bespoke Facial - 60 Minutes,CH0053,0,10,0,0
Ren Bio Active Bespoke Facial- 75 Minutes,CH0054,0,13,0,0
Ren Facial for Men - 60 Minutes,CH0055,0,10,0,0
VOYA Organic Deluxe Facial - 90 Minutes,CH0056,0,13,0,0
CHI The Spa,CHI0001,0,10,0,0
CHI The Spa,CHI0002,0,15,0,0
CHI The Spa,CHI0003,0,20,0,0
CHI The Spa,CHI0004,0,25,0,0
Apple Store e-Gift Card - US Store(30 OMR),OM-APP0002,0,8,0,0
Apple Store e-Gift Card - US Store (50 OMR),OM-APP0003,0,0,6,0
Apple Store e-Gift Card - US Store (100 OMR),OM-APP0004,0,0,6,0
BHS Gift Card (25 OMR),OM-BHS0003,13,3,3,0
BHS Gift Card (50 OMR),OM-BHS0004,13,3,3,0
Carrefour Voucher (30 OMR),OM-CAR0001,13,2,2,0
Next Gift Card (30 OMR),OM-NT0001,13,2,2,0
Next Gift Card (50 OMR),OM-NT0002,13,3,3,0
Next Gift Card (100 OMR),OM-NT0003,13,3,3,0
MAC Cosmetics Gift Card (150 OMR),OM-MAC0001,13,3.5,3.5,0
MAC Cosmetics Gift Card (100 OMR),OM-MAC0002,13,3,3,0
MAC Cosmetics Gift Card (30 OMR),OM-MAC0003,13,2,2,0
MAC Cosmetics Gift Card (50 OMR),OM-MAC0004,13,3,3,0
